Timestamp,Speed,Latitude coordinate,Longitude coordinate,Altitude,Vertical accuracy,Horizontal accuracy,Course,Course variation,Behavior
67.82,110.1,40.52396,-3.4153,641,6,5,306.2,3.867,0
68.8,108.3,40.52412,-3.4156,642.1,6,5,303,4.57,0
69.81,106.2,40.52427,-3.4159,641.6,6,5,300.6,5.625,0
70.84,104.4,40.5244,-3.4162,641.8,6,5,298.5,4.57,0
71.92,101.3,40.52462,-3.41681,641.6,6,5,293.6,4.219,0
72.84,101.3,40.52462,-3.41681,641.6,6,5,293.6,4.922,0
73.82,99.7,40.52472,-3.41712,641.1,6,5,290.7,5.625,0
74.84,99.1,40.5248,-3.41744,640.5,6,5,289.3,4.219,0
75.82,98.6,40.52487,-3.41775,639.4,6,5,287.9,2.812,0
76.81,98.1,40.52494,-3.41806,638.9,6,5,287.2,2.109,0
77.81,97.9,40.525,-3.41837,638.4,4,5,285.8,2.109,0
78.8,96.1,40.52506,-3.41867,636.8,4,5,286.2,1.055,0
79.82,95.7,40.52513,-3.41898,635.1,4,5,286.2,0.352,0
80.8,94.9,40.5252,-3.41927,633.8,6,5,286.5,0.352,0
81.8,93.1,40.52526,-3.41956,632.5,6,5,287.2,1.055,0
82.82,92.1,40.52533,-3.41985,631.9,6,5,288.3,1.758,0
83.89,89.3,40.52549,-3.42042,630.5,6,5,292.1,4.219,0
84.81,89.3,40.52549,-3.42042,630.5,6,5,292.1,3.867,0
85.88,89,40.52568,-3.42094,629.7,6,5,295.7,2.461,0
86.92,87.9,40.52578,-3.4212,628.6,6,5,298.1,3.516,0
87.82,87.9,40.52578,-3.4212,628.6,6,5,298.1,4.219,0
88.82,87.5,40.52589,-3.42145,628.2,4,5,300.9,5.273,0
89.89,87.1,40.52614,-3.42192,627.3,4,5,304.5,5.625,0
90.82,87.1,40.52614,-3.42192,627.3,4,5,304.5,3.516,0
91.81,86,40.52627,-3.42214,626.5,6,5,309.7,5.977,0
92.84,85.6,40.52641,-3.42235,626,4,5,312.2,7.734,0
93.82,85.5,40.52657,-3.42256,625.4,4,5,313.9,4.219,0
94.84,85,40.52672,-3.42275,625,4,5,316.8,4.57,0
95.84,84.8,40.52687,-3.42294,623.8,6,5,318.9,4.922,0
96.86,86.5,40.52703,-3.42313,623.6,6,5,320.6,3.867,0
97.81,86.3,40.52721,-3.42331,623.4,6,5,322.7,3.867,0
98.8,86.3,40.5274,-3.42344,622.9,6,5,326.2,5.625,0
99.8,86.7,40.52759,-3.42359,622.2,6,5,328,5.273,0
100.8,85.7,40.52778,-3.42373,622,6,5,330.1,3.867,0
101.83,85.4,40.52797,-3.42386,621.4,6,5,331.5,3.516,0
102.8,84.6,40.52816,-3.42399,620.9,6,5,332.6,2.461,0
103.8,84.7,40.52836,-3.42412,620.6,6,5,333.6,2.109,0
104.89,83.2,40.52872,-3.42436,619.3,6,5,333.6,0.703,0
105.8,83.2,40.52872,-3.42436,619.3,6,5,333.6,0.352,0
106.8,82.2,40.52891,-3.42449,619,6,5,332.9,0.703,0
107.8,82.4,40.52909,-3.42461,618.9,4,5,332.9,0.703,0
108.85,82.8,40.52928,-3.42473,618.3,6,5,332.2,0.703,0
109.8,84.7,40.52947,-3.42486,618.3,4,5,331.5,1.406,0
110.8,86.2,40.52965,-3.42499,617.9,4,5,330.5,1.758,0
111.8,86.8,40.52984,-3.42513,617.5,4,5,329.4,2.109,0
112.81,88.6,40.53002,-3.42528,617,4,5,327.7,2.812,0
113.8,86.9,40.5302,-3.42544,616.2,4,5,325.9,3.516,0
114.83,87.8,40.53038,-3.4256,615.4,6,5,325.2,2.461,0
115.8,88.2,40.53056,-3.42577,615.1,6,5,323.8,2.109,0
116.83,87.4,40.53073,-3.42595,614.6,6,5,321.3,3.867,0
117.84,88.6,40.5309,-3.42613,614.1,6,5,319.9,3.867,0
118.82,89.4,40.53108,-3.42632,613.6,4,5,317.8,3.516,0
119.82,91.2,40.53125,-3.42653,612.9,4,5,317.1,2.812,0
120.82,90.1,40.53143,-3.42673,612.4,4,5,315.7,2.109,0
121.8,90.6,40.53159,-3.42694,611.8,6,5,313.6,3.516,0
122.81,90,40.53175,-3.42716,612.2,6,5,312.2,3.516,0
123.85,89,40.5319,-3.42737,612.6,6,5,310.4,3.164,0
124.81,87.8,40.53205,-3.42759,612.9,6,5,309,3.164,0
125.81,87.2,40.53219,-3.4278,613,6,5,308.3,2.109,0
126.85,85.8,40.53231,-3.42802,613.7,6,5,305.9,3.164,0
127.81,83.2,40.53243,-3.42825,615.2,6,5,304.8,3.516,0
128.86,83.4,40.53254,-3.42848,615.4,6,5,302.3,3.516,0
129.91,84.3,40.53275,-3.42895,618.4,6,5,300.2,3.516,0
130.87,84.3,40.53275,-3.42895,618.4,6,5,300.2,2.109,0
131.82,84.9,40.53288,-3.4292,619.4,6,5,299.2,2.109,0
132.8,86.4,40.53299,-3.42945,620.4,6,5,297.1,3.164,0
133.82,87,40.53309,-3.42969,622.2,6,5,295.7,3.516,0
134.82,87.6,40.53318,-3.42996,623.5,6,5,294.3,2.812,0
135.82,88.7,40.53326,-3.4302,624.3,6,5,292.9,2.812,0
136.82,89.1,40.53334,-3.43048,625.5,6,5,291.1,3.164,0
137.81,88.5,40.53341,-3.43074,626.8,6,5,289.3,3.516,0
138.82,88.5,40.53348,-3.43102,628.1,6,5,287.6,3.516,0
139.9,89.7,40.53361,-3.43159,630.6,6,5,284.8,2.812,0
140.8,89.7,40.53361,-3.43159,630.6,6,5,284.8,2.812,0
141.82,88.8,40.53366,-3.43188,631.4,6,5,283.4,3.164,0
142.84,87,40.53371,-3.43217,633.5,6,5,281.6,3.164,0
143.83,86,40.53375,-3.43246,634.2,6,5,280.2,3.164,0
144.81,86.2,40.53378,-3.43275,635.1,6,5,278.4,3.164,0
145.82,85.3,40.5338,-3.43302,635.9,6,5,276.3,3.867,0
146.82,86.6,40.53382,-3.43331,637.1,6,5,275.6,2.812,0
147.81,85.9,40.53383,-3.4336,638.3,6,5,274.6,1.758,0
148.82,86,40.53386,-3.43386,639.8,6,5,273.2,2.461,0
149.82,86.7,40.53387,-3.43413,640.6,6,5,271.8,2.812,0
150.85,87.3,40.53388,-3.43441,641.8,6,5,271.4,1.758,0
151.8,87.4,40.53389,-3.43471,642.9,6,5,271.1,0.703,0
152.9,86.7,40.53388,-3.4353,645.3,6,5,269.3,1.406,0
153.8,86.7,40.53388,-3.4353,645.3,6,5,269.3,1.758,0
154.81,87.7,40.53388,-3.43558,647,6,5,268.9,1.055,0
155.84,87.3,40.53388,-3.43587,647.6,6,5,270,1.055,0
156.81,88,40.53388,-3.43616,648.9,6,5,270.4,1.406,0
157.8,88,40.53388,-3.43645,649.8,6,5,270.4,0.352,0
158.86,87.9,40.53388,-3.43675,650.6,6,5,270.4,0,0
159.83,88.7,40.53388,-3.43703,652.1,6,5,269.6,0.703,0
160.84,90.1,40.53388,-3.43733,653,6,5,269.6,0.703,0
161.8,90.3,40.53388,-3.43762,654.6,6,5,269.3,0.352,0
162.8,90.3,40.53388,-3.43793,655.7,6,5,269.6,0.352,0
163.8,89.2,40.53388,-3.43822,656.7,4,5,269.3,0.352,0
164.83,89.7,40.53388,-3.43853,657.6,4,5,269.6,0.352,0
165.8,88.9,40.53388,-3.43882,658.4,4,5,269.3,0.352,0
166.81,88.8,40.53388,-3.4391,659.5,4,5,269.3,0.352,0
167.83,88.7,40.53388,-3.43939,660,4,5,269.3,0,0
168.8,87.1,40.53388,-3.43967,660.2,4,5,269.3,0,0
169.83,87.6,40.53388,-3.43996,661,4,5,269.6,0.352,0
170.8,88.5,40.53388,-3.44025,661.2,4,5,269.6,0.352,0
171.81,88.4,40.53388,-3.44054,661.9,4,5,268.9,0.703,0
172.8,89.7,40.53387,-3.44082,662.6,6,5,268.9,0.703,0
173.8,89.7,40.53386,-3.44111,662.7,6,5,269.3,0.352,0
174.81,88.5,40.53385,-3.44139,662.5,6,5,269.3,0.352,0
175.81,88.5,40.53384,-3.44168,663.1,6,5,268.9,0.352,0
176.9,89.9,40.53384,-3.44225,662.9,6,5,270,0.352,0
177.81,89.9,40.53384,-3.44225,662.9,6,5,270,1.055,0
178.88,89.8,40.53384,-3.44254,662.7,6,5,270,0.703,0
179.81,89,40.53384,-3.44282,662.5,6,5,270,0,0
180.81,90.4,40.53385,-3.44312,661.6,6,5,270,0,0
181.82,90,40.53385,-3.44342,661.2,6,5,270,0,0
182.81,88.9,40.53385,-3.44372,660.9,6,5,269.6,0.352,0
183.86,88.2,40.53385,-3.44401,660.5,6,5,268.9,1.055,0
184.81,88.5,40.53385,-3.4443,659.4,6,5,269.6,0.703,0
185.82,88.6,40.53385,-3.4446,659.6,6,5,270,1.055,0
186.84,87.8,40.53385,-3.44489,658.8,6,5,270,0.352,0
187.82,87.4,40.53385,-3.44518,658.4,6,5,269.6,0.352,0
188.81,87.3,40.53385,-3.44546,657.8,6,5,270,0.352,0
189.8,86.5,40.53385,-3.44573,657.2,6,5,269.6,0.352,0
190.84,87.4,40.53385,-3.44602,656.8,6,5,270,0.352,0
191.83,87.7,40.53385,-3.44631,656.5,6,5,269.6,0.352,0
192.81,88.3,40.53385,-3.4466,656.2,6,5,269.6,0.352,0
193.88,87.5,40.53384,-3.44719,655.9,6,5,269.6,0.352,0
194.84,87.5,40.53384,-3.44719,655.9,6,5,269.6,0.352,0
195.91,87.6,40.53384,-3.44777,654.9,6,5,269.3,0.352,0
196.83,87.6,40.53384,-3.44777,654.9,6,5,269.3,0.352,0
197.83,88.3,40.53383,-3.44806,654.7,6,5,268.9,0.703,0
198.8,89.8,40.53383,-3.44836,654.4,6,5,268.6,0.703,0
199.82,91.4,40.53383,-3.44865,654.4,6,5,269.3,0.703,0
200.89,94.7,40.53383,-3.44896,654,6,5,269.6,1.055,0
201.83,99.1,40.53382,-3.44928,654.2,6,5,268.9,0.703,0
202.92,108.8,40.53381,-3.44998,655,6,5,268.2,1.406,0
203.91,112.3,40.53379,-3.45035,655.1,6,5,268.9,0.703,0
204.85,112.3,40.53379,-3.45035,655.1,6,5,268.9,0.703,0
205.83,115.7,40.53378,-3.45072,656.7,6,5,269.6,1.406,0
206.8,116.8,40.53378,-3.45111,657.6,6,5,269.3,0.352,0
207.82,116.8,40.53379,-3.45149,657.2,6,5,270.4,1.055,0
208.82,116.3,40.5338,-3.45186,652.2,6,5,272.5,3.164,0
209.82,116.1,40.53381,-3.45224,653.2,6,5,271.4,1.055,0
210.9,114.4,40.53382,-3.453,652.4,6,5,270,1.406,0
211.82,114.4,40.53382,-3.453,652.4,6,5,270,1.406,0
212.83,113,40.53382,-3.45337,651.5,6,5,270,0.703,0
213.9,111,40.53382,-3.45375,650.8,6,5,269.6,0.352,0
214.93,109.9,40.53381,-3.45411,650.1,6,5,269.6,0.352,0
215.87,109.2,40.53382,-3.45446,649.3,6,5,270,0.352,0
216.8,108.4,40.53382,-3.45482,648.7,6,5,269.6,0.352,0
217.8,107.3,40.53382,-3.45518,648,6,5,269.6,0.352,0
218.8,106,40.53382,-3.45553,647.1,6,5,269.6,0,0
219.8,104.7,40.53382,-3.45588,646.5,6,5,270,0.352,0
220.84,102.7,40.53382,-3.45622,646.1,4,5,269.6,0.352,0
221.81,101.3,40.53382,-3.45656,645.8,4,5,269.6,0.352,0
222.81,100.7,40.53382,-3.45689,645.6,6,5,269.6,0,0
223.83,99.8,40.53382,-3.45721,645.9,6,5,269.6,0,0
224.8,99.5,40.53382,-3.45753,645.5,4,5,269.6,0,0
225.8,99.1,40.53381,-3.45785,645.5,6,5,269.6,0,0
226.8,99.5,40.5338,-3.45817,645.2,6,5,269.3,0.352,0
227.83,99.6,40.53379,-3.45849,645.3,6,5,269.6,0.352,0
228.81,99.9,40.53379,-3.45881,645.3,6,5,269.6,0.352,0
229.84,99,40.53378,-3.45912,645.1,6,5,270,0.352,0
230.8,97.8,40.53378,-3.45944,645.6,6,5,269.6,0.352,0
231.81,97.2,40.53377,-3.45976,645.5,6,5,270,0.352,0
232.89,96.5,40.53377,-3.46039,646.2,6,5,269.3,0.352,0
233.89,95.5,40.53377,-3.46071,646.4,6,5,269.3,0.703,0
234.82,95.5,40.53377,-3.46071,646.4,6,5,269.3,0.703,0
235.81,95.5,40.53377,-3.46103,646.8,6,5,269.3,0,0
236.81,96.3,40.53378,-3.46135,647.4,6,5,269.6,0.352,0
237.81,96.6,40.53377,-3.46167,647.6,6,5,269.6,0.352,0
238.88,95.5,40.53377,-3.46198,648.3,6,5,269.6,0,0
239.81,94.8,40.53376,-3.46229,649,6,5,269.6,0,0
240.85,95,40.53376,-3.46262,649.5,6,5,270,0.352,0
241.83,95.5,40.53375,-3.46293,649.9,6,5,269.3,0.703,0
242.81,95.4,40.53374,-3.46325,650.3,6,5,269.3,0.703,0
243.85,95.4,40.53375,-3.46358,650.8,6,5,270,0.703,0
244.88,95.5,40.53374,-3.46389,651.1,6,5,270.4,1.055,0
245.82,94.7,40.53375,-3.46417,651.4,6,5,270,0.352,0
246.97,94.7,40.53375,-3.46479,652.3,6,5,270.4,0.703,0
247.84,94.7,40.53375,-3.46479,652.3,6,5,270.4,0.703,0
248.82,95.8,40.53375,-3.4651,652.4,6,5,271.8,2.109,0
249.97,94.1,40.53379,-3.46573,652.7,6,5,276.3,3.867,0
250.82,94.1,40.53379,-3.46573,652.7,6,5,276.3,4.57,0
251.88,94.1,40.53383,-3.46604,652.8,6,5,279.5,5.273,0
252.9,93.7,40.53388,-3.46635,653.9,6,5,283,6.68,0
253.83,95.1,40.53394,-3.46666,653.7,6,5,285.1,5.625,0
254.91,94.6,40.53401,-3.46696,654.5,6,5,288.3,5.273,0
255.8,93.7,40.53411,-3.46727,655,6,5,292.1,7.031,0
256.96,92.4,40.5343,-3.4678,655.4,6,5,297.8,6.328,0
257.82,92.4,40.5343,-3.4678,655.4,6,5,297.8,5.625,0
258.83,91.4,40.53441,-3.46805,656.1,6,5,300.6,5.977,0
259.89,90.2,40.53453,-3.4683,656.4,6,5,303.4,5.625,0
260.98,85.7,40.5348,-3.46877,656.8,6,5,309,5.977,0
261.81,85.7,40.5348,-3.46877,656.8,6,5,309,5.625,0
262.82,84.5,40.53493,-3.46899,657,6,5,310.8,4.219,0
263.86,82.5,40.53508,-3.4692,657.3,6,5,315,5.977,0
264.86,81.8,40.53523,-3.46938,657.7,6,5,317.5,6.68,0
265.86,82.5,40.5354,-3.46954,658,6,5,320.6,5.625,0
266.94,83.5,40.53555,-3.46971,658.6,6,5,323.4,5.977,0
267.85,85,40.53573,-3.46986,659.6,6,5,325.5,4.922,0
268.8,85.7,40.53591,-3.47001,659.9,6,5,327,3.516,0
269.9,88,40.5363,-3.47028,661.4,6,5,333.3,5.273,0
270.83,88,40.5363,-3.47028,661.4,6,5,333.3,6.328,0
271.81,88.7,40.5365,-3.47039,661.7,6,5,336.4,5.625,0
272.82,90,40.53672,-3.4705,662.4,6,5,340,6.68,0
273.82,91.2,40.53694,-3.47059,663.5,6,5,342.1,5.625,0
274.82,92.8,40.53716,-3.47069,664.2,6,5,343.8,3.867,0
275.83,94.1,40.53739,-3.47076,664.9,6,5,344.9,2.812,0
276.84,95.5,40.53762,-3.47084,665.8,6,5,345.6,1.758,0
277.83,96.1,40.53785,-3.47091,666.2,4,5,345.2,0.352,0
278.83,97.7,40.53807,-3.471,666.8,4,5,345.6,0.352,0
279.83,97.6,40.5383,-3.47107,667.3,4,5,345.6,0.352,0
280.81,97.1,40.53854,-3.47115,667.1,4,5,345.9,0.352,0
281.8,97.2,40.53877,-3.47123,667.5,4,5,345.9,0.352,0
282.86,97.8,40.53901,-3.4713,668.2,4,5,345.6,0.352,0
283.81,98.5,40.53925,-3.47138,668.7,4,5,345.9,0.352,0
284.81,99.6,40.53948,-3.47146,669.2,4,5,345.9,0.352,0
285.8,96.6,40.53972,-3.47152,669.4,4,5,345.9,0,0
286.8,97.5,40.53995,-3.47158,669.5,4,5,345.9,0,0
287.86,98,40.54017,-3.47165,669.7,4,5,345.2,0.703,0
288.82,97.2,40.5404,-3.47173,670.2,4,5,345.6,0.352,0
289.83,96.6,40.54064,-3.4718,670.6,4,5,345.6,0.352,0
290.83,97.6,40.54087,-3.47188,670.8,4,5,345.9,0.352,0
291.8,98.1,40.54111,-3.47196,671.3,4,5,345.9,0.352,0
292.8,98.4,40.54136,-3.47204,671.9,4,5,345.9,0,0
293.87,98.4,40.5416,-3.47212,672,4,5,345.9,0,0
294.81,98.3,40.54184,-3.4722,672.3,4,5,345.6,0.352,0
295.81,97.3,40.54208,-3.47228,672.4,4,5,345.6,0.352,0
296.85,95.9,40.54231,-3.47236,673.2,4,5,345.6,0,0
297.81,95.4,40.54255,-3.47244,673.9,4,5,345.6,0,0
298.81,95.9,40.54279,-3.47251,674.7,4,5,345.6,0,0
299.81,96.4,40.54302,-3.47259,675.2,4,5,345.9,0.352,0
300.85,97,40.54324,-3.47266,676,6,5,345.6,0.352,0
301.81,97.5,40.54348,-3.47274,677.2,4,5,345.6,0.352,0
302.81,97.8,40.54372,-3.47282,677.8,6,5,345.9,0.352,0
303.81,95.7,40.54394,-3.47289,678.7,6,5,345.9,0.352,0
304.82,94.5,40.54418,-3.47298,679.6,6,5,345.6,0.352,0
305.81,93.9,40.5444,-3.47306,680,6,5,345.2,0.703,0
306.82,94.1,40.54463,-3.47313,680.7,6,5,345.9,0.703,0
307.93,89.7,40.54507,-3.47327,681.4,6,5,345.6,0.703,0
308.81,89.7,40.54507,-3.47327,681.4,6,5,345.6,0.352,0
309.82,88.7,40.54529,-3.47334,682.5,6,5,345.6,0.352,0
310.82,88,40.54551,-3.47342,683.1,6,5,345.9,0.352,0
311.82,86,40.54572,-3.47349,684,6,5,345.9,0.352,0
312.85,85.8,40.54593,-3.47356,684.5,6,5,345.6,0.352,0
313.82,85,40.54614,-3.47362,685.4,6,5,345.6,0.352,0
314.83,85.7,40.54634,-3.4737,685.9,6,5,344.5,1.055,0
315.82,86.8,40.54654,-3.47378,686.7,6,5,343.5,2.109,0
316.85,87.7,40.54676,-3.47387,687.8,6,5,343.5,1.055,0
317.82,88.6,40.54698,-3.47396,688.9,6,5,342.8,0.703,0
318.87,89.7,40.5472,-3.47406,689.5,6,5,342.1,1.406,0
319.8,91.8,40.54741,-3.47416,691,6,5,340.7,2.109,0
320.82,94,40.54763,-3.47427,691.7,6,5,340,2.109,0
321.82,95.2,40.54784,-3.47438,692.7,6,5,339.3,1.406,0
322.8,95.8,40.54807,-3.47448,693.5,6,5,337.9,2.109,0
323.91,97,40.54852,-3.47474,695.4,6,5,336.1,2.109,0
324.8,97,40.54852,-3.47474,695.4,6,5,336.1,1.758,0
325.84,99.1,40.54876,-3.47487,696.3,6,5,334.7,2.461,0
326.82,97.3,40.549,-3.47501,697.4,6,5,333.3,2.812,0
327.86,97.2,40.54921,-3.47515,698.2,6,5,332.2,2.461,0
328.82,96.8,40.54944,-3.47529,699,6,5,331.2,2.109,0
329.82,97.1,40.54966,-3.47544,700.1,6,5,330.5,1.758,0
330.86,96.8,40.54986,-3.4756,700.8,6,5,329.4,1.758,0
331.84,97.1,40.55006,-3.47577,701.7,6,5,328.4,2.109,0
332.84,96.2,40.55026,-3.47594,703,6,5,327.3,2.109,0
333.91,94.2,40.55063,-3.4763,704.1,6,5,324.5,2.109,0
334.83,94.2,40.55063,-3.4763,704.1,6,5,324.5,2.812,0
335.83,93.8,40.55082,-3.47649,704.9,6,5,323.8,2.461,0
336.84,93.9,40.551,-3.47667,706,6,5,322.7,1.758,0
337.82,94,40.55117,-3.47685,706.7,6,5,321.7,2.109,0
338.83,94.7,40.55136,-3.47704,707.8,6,5,320.6,2.109,0
339.8,95.6,40.55154,-3.47724,708.6,6,5,319.2,2.461,0
340.82,95.2,40.55173,-3.47745,709.5,6,5,318.2,2.461,0
341.8,96,40.55191,-3.47767,710.2,6,5,317.5,1.758,0
342.81,94.9,40.55208,-3.4779,711.1,6,5,316.4,1.758,0
343.8,93.8,40.55225,-3.47811,712,6,5,315,2.461,0
344.81,94.3,40.55242,-3.47834,713.1,6,5,313.9,2.461,0
345.8,94.9,40.55258,-3.47857,713.9,6,5,312.9,2.109,0
346.8,94.9,40.55274,-3.4788,715,6,5,312.2,1.758,0
347.83,95.7,40.55291,-3.47903,715.5,6,5,311.1,1.758,0
348.8,94.6,40.55307,-3.47925,716.4,6,5,310.1,2.109,0
349.81,95.1,40.55322,-3.4795,717.4,6,5,309,2.109,0
350.81,96.5,40.55337,-3.47975,718.3,6,5,307.6,2.461,0
351.81,97.3,40.55351,-3.48001,718.8,6,5,306.9,2.109,0
352.8,98.6,40.55366,-3.48027,719.8,6,5,305.5,2.109,0
353.8,100.2,40.55379,-3.48054,721.1,6,5,304.5,2.461,0
354.81,101.5,40.55393,-3.48082,721.7,6,5,303,2.461,0
355.81,103.6,40.55407,-3.4811,722.3,6,5,301.6,2.812,0
356.83,104.7,40.55421,-3.48139,723.1,6,5,300.6,2.461,0
357.81,108.3,40.55435,-3.48169,724,6,5,301.3,0.703,0
358.81,104.1,40.55448,-3.48199,724.1,6,5,298.8,2.461,0
359.85,104.9,40.55459,-3.48229,724.6,6,5,297.8,3.516,0
360.81,104.5,40.55472,-3.48261,724.9,6,5,296.4,2.461,0
361.8,104.1,40.55483,-3.48292,725,6,5,295,2.812,0
362.81,104.7,40.55493,-3.48323,725.4,6,5,293.9,2.461,0
363.81,105.5,40.55503,-3.48355,725.8,6,5,291.8,3.164,0
364.81,106.1,40.55513,-3.48388,726.1,6,5,291.4,2.461,0
365.87,105.7,40.55522,-3.48422,726.2,6,5,290.4,1.406,0
366.9,105.4,40.55538,-3.48487,726.4,6,5,287.9,2.109,0
367.9,105.3,40.55545,-3.4852,726.7,6,5,286.5,2.461,0
368.83,105.3,40.55545,-3.4852,726.7,6,5,286.5,2.812,0
369.81,105.6,40.55553,-3.48553,727.1,6,5,285.8,2.109,0
370.91,107.4,40.55566,-3.48619,727.7,6,5,283.4,2.109,0
371.82,107.4,40.55566,-3.48619,727.7,6,5,283.4,2.461,0
372.84,108.4,40.55572,-3.48653,728.3,6,5,282,2.461,0
373.86,109,40.55577,-3.48688,728.6,6,5,280.5,2.812,0
374.81,108.6,40.55582,-3.48722,729.5,6,5,279.5,2.461,0
375.81,107.8,40.55586,-3.48757,729.5,6,5,278.4,2.109,0
376.8,108.8,40.5559,-3.48792,730,6,5,277,2.461,0
377.8,107.6,40.55593,-3.48827,730.2,6,5,274.9,3.516,0
378.98,103.6,40.55596,-3.48897,730.2,6,5,271.4,3.867,0
379.83,103.6,40.55596,-3.48897,730.2,6,5,271.4,3.516,0
380.82,101.3,40.55595,-3.4893,730.3,6,5,269.6,3.516,0
381.87,98.9,40.55592,-3.48995,730.8,6,5,265.4,4.219,0
382.81,98.9,40.55592,-3.48995,730.8,6,5,265.4,4.219,0
383.81,99.7,40.55588,-3.49026,731.1,6,5,262.6,4.57,0
384.93,97.7,40.55579,-3.4909,731.6,6,5,257.7,5.273,0
385.8,97.7,40.55579,-3.4909,731.6,6,5,257.7,4.922,0
386.82,97.6,40.55573,-3.49121,731.8,6,5,255.6,4.57,0
387.9,97.8,40.55567,-3.49152,732,6,5,253.5,4.219,0
388.8,98.1,40.55558,-3.49182,732.4,6,5,251.4,4.219,0
